REF_SHORT_NAME,REF_SUBMITTER,REF_LINK,REF_STATE,REF_LOCALE,REF_SAMPLES,REF_NGDB,REF_SYSTEM,REF_DEPOSIT_TYPE,REF_CITATION,REF_DATE_PUBL,REF_TITLE,REF_AUTHORS
Lupulescu_2017,"Hofstra, Albert H.",https://doi.org/10.3749/canmin.1600057,New York,"iron oxide-apatite (IOA) deposits, eastern Adirondack Mountains",27,NO,IOA-IOCG,IOA,"Lupulescu,  Marian V., Hughes, John M., Chiarenzelli, Jeffrey R., and Bailey, David G., 2017, Texture, crystal structure, and composition of fluorapatites from iron oxide-apatite (IOA) deposits, eastern Adirondack Mountains, New York: The Canadian Mineralogist, vol. 55, pp. 399-417, accessed May 21, 2021 at https://doi.org/10.3749/canmin.1600057.",2017,"Texture, crystal structure, and composition of fluorapatites from iron oxide-apatite (IOA) deposits, eastern Adirondack Mountains, New York","Lupulescu,  Marian V., Hughes, John M., Chiarenzelli, Jeffrey R., and Bailey, David G."
Maher_1996,"Hofstra, Albert H.",,Nevada,"Veteran Extension in the Robinson (Ely) Porphyry Copper District, White Pine Co.",62,NO,Porphyry Cu-Mo-Au,Porphyry/skarn Cu and Distal disseminated Au-Au,"Maher, David J., 1996, Evolution of jasperoid and hydrothermal alteration at Veteran Extension in the Robinson (Ely) Porphyry Copper District, Nevada: Corvallis, Oregon State University, Masters dissertation, 155 p.",1996,"Evolution of jasperoid and hydrothermal alteration at Veteran Extension in the Robinson (Ely) Porphyry Copper District, Nevada","Maher, David J."
Masinter_1990,"Hofstra, Albert H.",https://searchworks.stanford.edu/view/710523,Nevada,"Gold Bar deposit, Eureka Co.",124,NO,Carlin-type,Au,"Masinter, Robert A., 1990, Geology, wall-rock alteration, and gold mineralization of the Gold Bar deposit, Eureka County, Nevada: Stanford, Stanford University, Masters dissertation, 256 p., accessed May 21, 2021 at https://searchworks.stanford.edu/view/710523.",1990,"Geology, wall-rock alteration, and gold mineralization of the Gold Bar deposit, Eureka County, Nevada","Masinter, Robert A."
Mauk_2019,"Guzman, Mario",,Colorado,Mt. Emmons deposit,18,YES,Climax-type,Polymetallic sulfide vein,"Mauk, Jeffrey L., compilation of unpublished USGS National Geochemical Database data from the Mt. Emmons deposit, NV.",,,
Meighan_2020,"Meighan, Corey",,Missouri,St. Francois Mountains,106,YES,IOA-IOCG,"IOA, IOCG, Polymetallic sulfide skarn or Replacement Mn","Meighan, Corey, compilation of unpublished USGS National Geochemical Database data from the St. Francois Mountains, southeast MO.",,,
Nash_1988,"Hofstra, Albert H.",https://doi.org/10.3133/ofr88661,Idaho,"Blackbird mining district, Lemhi Co.",322,YES,IOA-IOCG,IOCG,"Nash, J. Thomas, Briggs, Paul H., Bartel, Ardith J., and Brandt, Elaine L., 1988, Geochemical results for samples of ore and altered hostrocks, Blackbird mining district, Lemhi County, Idaho: U.S. Geological Survey, Open-File Report 1988-661, 71 p., accessed May 21, 2021 at https://doi.org/10.3133/ofr88661.",1988,"Geochemical results for samples of ore and altered hostrocks, Blackbird mining district, Lemhi County, Idaho","Nash, J. Thomas, Briggs, Paul H., Bartel, Ardith J., and Brandt, Elaine L."
Nash_1990,"Hofstra, Albert H.",https://doi.org/10.3133/ofr90721,Idaho,"Yellowjacket Formation, Lemhi Co.",52,YES,IOA-IOCG,IOCG,"Nash, J. Thomas, Connor, Jon J., Curry, Kenneth J., and Papp, Clara S., 1990, Anomalous chlorine in iron-rich strata, Yellowjacket Formation, Lemhi County, Idaho: analytical data and discussion: U.S. Geological Survey, Open-File Report 1990-721, 36 p., accessed May 21, 2021 at https://doi.org/10.3133/ofr90721.",1990,"Anomalous chlorine in iron-rich strata, Yellowjacket Formation, Lemhi County, Idaho: analytical data and discussion","Nash, J. Thomas, Connor, Jon J., Curry, Kenneth J., and Papp, Clara S."
NDM_2020,"Kelley, Karen D.",,Alaska,Pebble deposit,7488,NO,Porphyry Cu-Mo-Au,Porphyry Cu,"Northern Dynasty Minerals, unpublished data; contact: Jim Lang, Hunter Dickinson Mining, Inc.",,,
NGDB_2020,"Granitto, Matthew",,Idaho,Idaho Cobalt Belt,87,YES,IOA-IOCG or unknown,"IOCG, Cu, Polymetallic sulfide replacement or unknown","Granitto, Matthew, 2020, unpublished USGS National Geochemical Database data from Idaho Cobalt Belt samples of Connor and Nash.",,,
Nold_2014,"Meighan, Corey",https://doi.org/10.1016/j.oregeorev.2013.10.002,Missouri,St. Francois Mountains,11,NO,IOA-IOCG,IOA,"Nold, John L., Dudley, Mark A., and Davidson, Paul, 2014, The Southeast Missouri (USA) Proterozoic iron metallogenic province—Types of deposits and genetic relationships to magnetite–apatite and iron oxide–copper–gold deposits: Ore Geology Reviews, vol. 57, pp. 154-171, accessed May 21, 2021 at https://doi.org/10.1016/j.oregeorev.2013.10.002.",2014,The Southeast Missouri (USA) Proterozoic iron metallogenic province—Types of deposits and genetic relationships to magnetite–apatite and iron oxide–copper–gold deposits,"Nold, John L., Dudley, Mark A., and Davidson, Paul"
