PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
Ba_ppm_ES_SQ,"Barium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Ba_ppm_LAMS,"Barium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",758,LAMS
Ba_ppm_MS_AR_P,"Barium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Ba_ppm_MS_AR_UT_P,"Barium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
Ba_ppm_MS_Fuse,"Barium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",183,MS_Fuse
Ba_ppm_MS_HF,"Barium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
Ba_ppm_MS_ST_REE,"Barium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",67,MS_ST_REE
Ba_ppm_NA_LC,"Barium, in parts per million, by long count instrumental neutron activation",562,NA_LC
Ba_ppm_NA_SC,"Barium, in parts per million, by short count instrumental neutron activation",8,NA_SC
Ba_ppm_WDX_Fuse,"Barium, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",213,WDX_Fuse
Ba_ppm_WDX_PP,"Barium, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",6,WDX_PP
Be_ppm_AES_AR_P,"Beryllium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",217,AES_AR_P
Be_ppm_AES_Fuse,"Beryllium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",352,AES_Fuse
Be_ppm_AES_HF,"Beryllium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",18657,AES_HF
Be_ppm_AES_HF_UT,"Beryllium, in parts per million, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
