PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
K_pct_AES_Fuse,"Potassium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",797,AES_Fuse
K_pct_AES_HF,"Potassium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19268,AES_HF
K_pct_AES_HF_UT,"Potassium, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
K_pct_AES_ST,"Potassium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
K_pct_DCP_Fuse,"Potassium, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
K_pct_ES_SQ,"Potassium, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",118,ES_SQ
K_pct_MS_AR_P,"Potassium, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
K_pct_MS_HF,"Potassium, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
K_pct_NA_LC,"Potassium, in weight percent, by long count instrumental neutron activation",87,NA_LC
K_pct_WDX_Fuse,"Potassium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1685,WDX_Fuse
K_pct_WDX_PP,"Potassium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
La_ppm_AES_AR_P,"Lanthanum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",256,AES_AR_P
La_ppm_AES_Fuse,"Lanthanum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",140,AES_Fuse
La_ppm_AES_HF,"Lanthanum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8127,AES_HF
La_ppm_EDX,"Lanthanum, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",253,EDX
La_ppm_EPMA,"Lanthanum, in parts per million, by electron probe microanalysis",79,EPMA
La_ppm_ES_SQ,"Lanthanum, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1460,ES_SQ
La_ppm_LAMS,"Lanthanum, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
La_ppm_MS_AR_P,"Lanthanum, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
La_ppm_MS_AR_UT_P,"Lanthanum, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
La_ppm_MS_Fuse,"Lanthanum, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
La_ppm_MS_HF,"Lanthanum, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10506,MS_HF
La_ppm_MS_HF_UT,"Lanthanum, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
La_ppm_MS_ST,"Lanthanum, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
La_ppm_MS_ST_REE,"Lanthanum, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
La_ppm_NA_LC,"Lanthanum, in parts per million, by long count instrumental neutron activation",165,NA_LC
La_ppm_NA_SC,"Lanthanum, in parts per million, by short count instrumental neutron activation",8,NA_SC
Li_ppm_AA_F_HF,"Lithium, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",8,AA_F_HF
Li_ppm_AES_HF,"Lithium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",12018,AES_HF
Li_ppm_AES_HF_UT,"Lithium, in parts per million, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Li_ppm_AES_ST,"Lithium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Li_ppm_ES_Q,"Lithium, in parts per million, by quantitative direct-current arc emission spectrography",818,ES_Q
Li_ppm_ES_SQ,"Lithium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",130,ES_SQ
Li_ppm_MS_AR_P,"Lithium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",14,MS_AR_P
Li_ppm_MS_Fuse,"Lithium, in parts per million by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",25,MS_Fuse
Li_ppm_MS_HF,"Lithium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",169,MS_HF
Li_ppm_MS_ST,"Lithium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",8,MS_ST
Li_ppm_NA_LC,"Lithium, in parts per million, by long count instrumental neutron activation; highly questionable that this method was used for Li",59,NA_LC
LOI_pct_GV,"Loss on ignition, in weight percent, by gravimetry after heating/combustion at 900° - 925°C",2038,GV
Lu_ppm_ES_SQ,"Lutetium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",62,ES_SQ
Lu_ppm_LAMS,"Lutetium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Lu_ppm_MS_Fuse,"Lutetium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Lu_ppm_MS_HF,"Lutetium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Lu_ppm_MS_ST,"Lutetium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Lu_ppm_MS_ST_REE,"Lutetium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",79,MS_ST_REE
Lu_ppm_NA_LC,"Lutetium, in parts per million, by long count instrumental neutron activation",161,NA_LC
Lu_ppm_NA_SC,"Lutetium, in parts per million, by short count instrumental neutron activation",7,NA_SC
Mg_pct_AA_F_Fuse,"Magnesium, in weight percent, by flame-atomic absorption spectrophotometry after LiBO2-Li2B4O7 fusion",12,AA_F_Fuse
Mg_pct_AES_AR_P,"Magnesium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",287,AES_AR_P
Mg_pct_AES_Fuse,"Magnesium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",797,AES_Fuse
Mg_pct_AES_HF,"Magnesium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19264,AES_HF
Mg_pct_AES_HF_UT,"Magnesium, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Mg_pct_AES_ST,"Magnesium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Mg_pct_DCP_Fuse,"Magnesium, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Mg_pct_EPMA,"Magnesium, in weight percent, by electron probe microanalysis",97,EPMA
Mg_pct_ES_SQ,"Magnesium, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Mg_pct_MS_AR_P,"Magnesium, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Mg_pct_MS_HF,"Magnesium, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
Mg_pct_WDX_Fuse,"Magnesium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1675,WDX_Fuse
Mg_pct_WDX_PP,"Magnesium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
Mn_pct_AA_F_AR_P,"Manganese, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",213,AA_F_AR_P
Mn_pct_AES_AR_P,"Manganese, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",935,AES_AR_P
Mn_pct_AES_Fuse,"Manganese, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",797,AES_Fuse
Mn_pct_AES_HF,"Manganese, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19264,AES_HF
Mn_pct_AES_HF_UT,"Manganese, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Mn_pct_AES_ST,"Manganese, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Mn_pct_DCP_Fuse,"Manganese, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Mn_pct_EPMA,"Manganese, in weight percent, by electron probe microanalysis",110,EPMA
Mn_pct_ES_SQ,"Manganese, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Mn_pct_LAMS,"Manganese, in weight percent, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",100,LAMS
Mn_pct_MS_AR_P,"Manganese, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Mn_pct_MS_AR_UT_P,"Manganese, in weight percent, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
Mn_pct_MS_HF,"Manganese, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
Mn_pct_NA_LC,"Manganese, in weight percent, by long count instrumental neutron activation",55,NA_LC
Mn_pct_WDX_Fuse,"Manganese, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1684,WDX_Fuse
Mn_pct_WDX_PP,"Manganese, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
Mo_ppm_AA_F_AR_P,"Molybdenum, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",2346,AA_F_AR_P
Mo_ppm_AA_F_Fuse_P,"Molybdenum, in parts per million, by flame-atomic absorption spectrophotometry after K2S2O7 fusion partial digestion",7,AA_F_Fuse_P
Mo_ppm_AES_AR_P,"Molybdenum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",1103,AES_AR_P
Mo_ppm_AES_AZ_P,"Molybdenum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",442,AES_AZ_P
Mo_ppm_AES_Fuse,"Molybdenum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",112,AES_Fuse
Mo_ppm_AES_HF,"Molybdenum, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8889,AES_HF
Mo_ppm_DCP_AR_P,"Molybdenum, in parts per million, by direct current plasma-atomic emission spectroscopy after partial digestion with aqua regia",82,DCP_AR_P
Mo_ppm_ES_SQ,"Molybdenum, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1460,ES_SQ
Mo_ppm_LAMS,"Molybdenum, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",330,LAMS
Mo_ppm_MS_AR_P,"Molybdenum, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",119,MS_AR_P
Mo_ppm_MS_AR_UT_P,"Molybdenum, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Mo_ppm_MS_Fuse,"Molybdenum, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",151,MS_Fuse
Mo_ppm_MS_HF,"Molybdenum, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10575,MS_HF
Mo_ppm_MS_HF_UT,"Molybdenum, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Mo_ppm_MS_ST,"Molybdenum, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",393,MS_ST
Mo_ppm_NA_LC,"Molybdenum, in parts per million, by long count instrumental neutron activation",166,NA_LC
Mo_ppm_WDX_PP,"Molybdenum, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",17,WDX_PP
Na_pct_AA_F_HF,"Sodium, in weight percent, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",831,AA_F_HF
Na_pct_AA_FE,"Sodium, in weight percent, by flame emission spectroscopy after multi-acid digestion with HF, or after LiBO2-Li2B4O7 fusion",1,AA_FE
Na_pct_AES_AR_P,"Sodium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",287,AES_AR_P
Na_pct_AES_Fuse,"Sodium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",797,AES_Fuse
Na_pct_AES_HF,"Sodium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19003,AES_HF
Na_pct_AES_HF_UT,"Sodium, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Na_pct_DCP_Fuse,"Sodium, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Na_pct_EPMA,"Sodium, in weight percent, by electron probe microanalysis",10,EPMA
Na_pct_ES_SQ,"Sodium, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",429,ES_SQ
Na_pct_MS_AR_P,"Sodium, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Na_pct_MS_HF,"Sodium, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",49,MS_HF
Na_pct_NA_LC,"Sodium, in weight percent, by long count instrumental neutron activation",111,NA_LC
Na_pct_NA_SC,"Sodium, in weight percent, by short count instrumental neutron activation",8,NA_SC
Na_pct_WDX_Fuse,"Sodium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1663,WDX_Fuse
Na_pct_WDX_PP,"Sodium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
Nb_ppm_AES_Fuse,"Niobium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",268,AES_Fuse
Nb_ppm_AES_HF,"Niobium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1715,AES_HF
Nb_ppm_EDX,"Niobium, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",409,EDX
Nb_ppm_ES_SQ,"Niobium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Nb_ppm_MS_Fuse,"Niobium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",443,MS_Fuse
Nb_ppm_MS_HF,"Niobium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10092,MS_HF
Nb_ppm_MS_HF_UT,"Niobium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Nb_ppm_MS_ST,"Niobium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Nb_ppm_MS_ST_REE,"Niobium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",1,MS_ST_REE
Nb_ppm_NA_LC,"Niobium, in parts per million, by long count instrumental neutron activation",161,NA_LC
Nb_ppm_WDX_Fuse,"Niobium, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",10,WDX_Fuse
Nd_ppm_AES_HF,"Neodymium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1943,AES_HF
Nd_ppm_EPMA,"Neodymium, in parts per million, by electron probe microanalysis",79,EPMA
Nd_ppm_ES_SQ,"Neodymium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",73,ES_SQ
Nd_ppm_LAMS,"Neodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Nd_ppm_MS_Fuse,"Neodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Nd_ppm_MS_HF,"Neodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Nd_ppm_MS_ST,"Neodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Nd_ppm_MS_ST_REE,"Neodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
Nd_ppm_NA_LC,"Neodymium, in parts per million, by long count instrumental neutron activation",161,NA_LC
Nd_ppm_NA_SC,"Neodymium, in parts per million, by short count instrumental neutron activation",8,NA_SC
Ni_ppm_AA_F_AR_P,"Nickel, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",213,AA_F_AR_P
Ni_ppm_AES_AR_P,"Nickel, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",648,AES_AR_P
Ni_ppm_AES_Fuse,"Nickel, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",442,AES_Fuse
Ni_ppm_AES_HF,"Nickel, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19243,AES_HF
Ni_ppm_AES_HF_UT,"Nickel, in parts per million, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Ni_ppm_AES_ST,"Nickel, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Ni_ppm_EDX,"Nickel, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",263,EDX
Ni_ppm_EPMA,"Nickel, in parts per million, by electron probe microanalysis",252,EPMA
Ni_ppm_ES_SQ,"Nickel, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Ni_ppm_LAMS,"Nickel, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",402,LAMS
Ni_ppm_MS_AR_P,"Nickel, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",99,MS_AR_P
Ni_ppm_MS_AR_UT_P,"Nickel, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Ni_ppm_MS_Fuse,"Nickel, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",69,MS_Fuse
Ni_ppm_MS_HF,"Nickel, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",124,MS_HF
Ni_ppm_MS_ST,"Nickel, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",8,MS_ST
Ni_ppm_NA_LC,"Nickel, in parts per million, by long count instrumental neutron activation",251,NA_LC
Ni_ppm_NA_SC,"Nickel, in parts per million, by short count instrumental neutron activation",6,NA_SC
Ni_ppm_WDX_PP,"Nickel, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",9,WDX_PP
O_pct_EPMA,"Oxygen, in weight percent, by electron probe microanalysis",593,EPMA
P_pct_AES_AR_P,"Phosphorus, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",287,AES_AR_P
P_pct_AES_Fuse,"Phosphorus, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",796,AES_Fuse
P_pct_AES_HF,"Phosphorus, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",18699,AES_HF
P_pct_AES_HF_UT,"Phosphorus, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
P_pct_AES_ST,"Phosphorus, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",377,AES_ST
P_pct_DCP_Fuse,"Phosphorus, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
P_pct_EPMA,"Phosphorus, in weight percent, by electron probe microanalysis",77,EPMA
P_pct_ES_SQ,"Phosphorus, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",429,ES_SQ
P_pct_LAMS,"Phosphorus, in weight percent, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",167,LAMS
P_pct_MS_AR_P,"Phosphorus, in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
P_pct_MS_HF,"Phosphorus, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",38,MS_HF
P_pct_NA_LC,"Phosphorus, in weight percent, by long count instrumental neutron activation",53,NA_LC
P_pct_WDX_Fuse,"Phosphorus, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1671,WDX_Fuse
P_pct_WDX_PP,"Phosphorus, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
Pb_ppm_AA_F_AR_P,"Lead, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",1566,AA_F_AR_P
Pb_ppm_AA_F_HF,"Lead, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",2,AA_F_HF
Pb_ppm_AA_F_HNO3_P,"Lead, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with hot HNO3",7,AA_F_HNO3_P
Pb_ppm_AES_AR_P,"Lead, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",1324,AES_AR_P
Pb_ppm_AES_AZ_P,"Lead, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",442,AES_AZ_P
Pb_ppm_AES_Fuse,"Lead, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",89,AES_Fuse
Pb_ppm_AES_HF,"Lead, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8927,AES_HF
Pb_ppm_EDX,"Lead, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",70,EDX
Pb_ppm_EPMA,"Lead, in parts per million, by electron probe microanalysis",607,EPMA
Pb_ppm_ES_SQ,"Lead, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Pb_ppm_LAMS,"Lead, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",1178,LAMS
Pb_ppm_MS_AR_P,"Lead, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",119,MS_AR_P
Pb_ppm_MS_AR_UT_P,"Lead, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Pb_ppm_MS_Fuse,"Lead, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",196,MS_Fuse
Pb_ppm_MS_HF,"Lead, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10576,MS_HF
Pb_ppm_MS_HF_UT,"Lead, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Pb_ppm_MS_ST,"Lead, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",391,MS_ST
Pb_ppm_NA_LC,"Lead, in parts per million, by long count instrumental neutron activation; highly questionable that this method was used for Pb",54,NA_LC
Pb_ppm_WDX_PP,"Lead, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",16,WDX_PP
Pd_ppm_ES_SQ,"Palladium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",108,ES_SQ
Pd_ppm_FA_AES,"Palladium, in parts per million, by PbO(?) fire assay and inductively coupled plasma-atomic emission spectroscopy",6267,FA_AES
Pd_ppm_FA_MS,"Palladium, in parts per million, by NiS fire assay and inductively coupled plasma-mass spectroscopy",221,FA_MS
Pd_ppm_MS_AR_P,"Palladium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",6,MS_AR_P
Pr_ppm_AES_HF,"Praseodymium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1,AES_HF
Pr_ppm_EPMA,"Praseodymium, in parts per million, by electron probe microanalysis",12,EPMA
Pr_ppm_ES_SQ,"Praseodymium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",47,ES_SQ
Pr_ppm_LAMS,"Praseodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Pr_ppm_MS_Fuse,"Praseodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",476,MS_Fuse
Pr_ppm_MS_HF,"Praseodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Pr_ppm_MS_ST,"Praseodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Pr_ppm_MS_ST_REE,"Praseodymium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
